commodity,signal,title,description,published_at,sentiment_score
Gold,Buy,A cyberattack on payment systems blocked cards readers across stores and gas stations in Israel,"A cyberattack in Israel allegedly disrupted communication services, causing widespread malfunction of credit card readers across the country on Sunday. The Jerusalem Post reported that thousands of credit card readers across at gas stations and supermarket ch…",2024-11-12T15:20:45Z,-0.1
Gold,Buy,"(PR) Lexar Introduces Professional Workflow 6-Bay Docking Station, Workflow Portable SSD, Workflow Reader Modules, and Three CFexpress 4.0 Cards","Lexar, a leading global brand of flash memory solutions, is excited to announce their Professional Workflow solutions—the Professional Workflow 6-Bay Docking Station, the Professional Workflow Portable SSD, the Professional Workflow Dual-Slot SD UHS-II Card R…",2024-11-12T15:12:22Z,0.12916666666666665
Gold,Buy,Owner’s Review: the Rolex Oysterquartz 17013,"When I began this journey, many years ago and aided by guiding voices from the wider watch community in its various guises, there seemed to be many arbitrary categories than one needed to ‘fill’ in order to have a complete collection. A diver, a dress watch, …",2024-11-12T15:00:19Z,0.2
Gold,Buy,Meet The New C-Suite Class of 2024,These female entrepreneurs of color are initiating change where it’s desperately needed. Read up on how.,2024-11-12T14:59:00Z,-0.3
Gold,Buy,"Akamai Launches Cloud-Agnostic, Ready-to-Run Application Platform","Akamai Technologies, Inc., the cloud company that powers and protects life online, announced Akamai App Platform, a ready-to-run solution that makes it easy to deploy, manage, and scale highly distributed applications.",2024-11-12T14:46:00Z,0.2966666666666667
Gold,Buy,Why NBCU redesigned election coverage as a rich interactive experience,"Scooping Gold in The Drum Awards for Design, is Design Interaction winner Code and Theory and NBC News Group with Powering the Future of Data Journalism. Here is the award-winning case study.How do you deliver fair, accurate, and up-to-date news during a nati…",2024-11-12T14:30:00Z,0.3666666666666667
Gold,Buy,​Persil’s poster scavenger hunt wins big with Arsenal fans,"Winning Gold at The Drum Awards for Design in Posters is LOLA MullenLowe and Persil with Designed. Here is the award-winning case study.Situation: In August 2023, the brand forged a partnership with Arsenal F.C. as a sponsor. Both Dirt Is Good and Arsenal sha…",2024-11-12T14:30:00Z,0.6
Gold,Buy,“Haunting Deathbed Confessions”: 40 People Share Their Personal Stories,"Everyone's got secrets and some are too heavy to take with one to the grave. 
The post “Haunting Deathbed Confessions”: 40 People Share Their Personal Stories appeared first on DeMilked.",2024-11-12T14:05:24Z,0.016666666666666663
Gold,Buy,"Whole genome sequencing and antimicrobial resistance among clinical isolates of Shigella sonnei in Addis Ababa, Ethiopia","Background Shigellosis is an acute gastroenteritis infection and one of Ethiopia’s most common causes of morbidity and mortality, especially in children under five. Antimicrobial resistance (AMR) has spread quickly among Shigella species due to inappropriate …",2024-11-12T14:00:00Z,0.16805555555555554
Gold,Buy,C.Africa urges lifting of embargo on diamond exports,"The Central African Republic (CAR) sought Tuesday to convince the regulatory body for global diamond trading to lift all restrictions against it, ending an export embargo in place for more than a decade. The Kimberley Process (KP) regulatory body opened its p…",2024-11-12T13:52:33Z,0.125
Silver,Hold,Rega Naia Turntable,Rega Naia Turntable - Rega’s minimalist flagship turntable proves that less is more. Michael Fremer weighs in on the venerable British firm’s new statement product.,2024-11-12T16:30:42Z,0.09494949494949494
Silver,Hold,A cyberattack on payment systems blocked cards readers across stores and gas stations in Israel,"A cyberattack in Israel allegedly disrupted communication services, causing widespread malfunction of credit card readers across the country on Sunday. The Jerusalem Post reported that thousands of credit card readers across at gas stations and supermarket ch…",2024-11-12T15:20:45Z,-0.1
Copper,Hold,Rega Naia Turntable,Rega Naia Turntable - Rega’s minimalist flagship turntable proves that less is more. Michael Fremer weighs in on the venerable British firm’s new statement product.,2024-11-12T16:30:42Z,0.09494949494949494
Copper,Hold,"Oil and gas are a 'gift of god', says COP29 host",Azerbaijan's president said countries should not be blamed for having fossil fuel reserves.,2024-11-12T16:14:03Z,0.0
Copper,Hold,Demand Concerns Continue to Dominate Oil Markets,"Demand concerns are dominating oil markets this week, with OPEC cutting its global oil demand growth forecast for the fourth consecutive month on the back of underwhelming economic data out of China. - Immediately after Donald Trump’s re-election as US presid…",2024-11-12T14:30:00Z,-0.07999999999999999
Copper,Hold,Chinese mining enterprises in Zambia launch association to boost sector contributions,"LUSAKA, Nov. 12 (Xinhua) -- Chinese enterprises operating in Zambia's mining industry on Tuesday officially launched an association aimed at enhancing the enterprises' contribution to the mining sector in the southern African nation. Read full story",2024-11-12T17:29:00Z,0.0875
Copper,Hold,Gradiant’s alkaLi Sets New Standards in Direct Lithium Extraction,"- Gradiant’s spin-out, alkaLi, is leading the direct lithium extraction (DLE) and production market with its EC2 technology, which has demonstrated a ...",2024-11-12T14:39:05Z,0.1
Copper,Hold,Demand Concerns Continue to Dominate Oil Markets,"Demand concerns are dominating oil markets this week, with OPEC cutting its global oil demand growth forecast for the fourth consecutive month on the back of underwhelming economic data out of China. - Immediately after Donald Trump’s re-election as US presid…",2024-11-12T14:30:00Z,-0.07999999999999999
